location,iso_code,weekly_vaccinations
Afghanistan,AFG,5224
Africa,OWID_AFR,734995
Albania,ALB,4382
Algeria,DZA,22664
Andorra,AND,257
Angola,AGO,17825
Anguilla,AIA,118
Antigua and Barbuda,ATG,997
Argentina,ARG,242311
Armenia,ARM,1016
Aruba,ABW,468
Asia,OWID_ASI,25336646
Australia,AUS,107752
Austria,AUT,78844
Azerbaijan,AZE,42900
Bahamas,BHS,779
Bahrain,BHR,18199
Bangladesh,BGD,11668
Barbados,BRB,876
Belarus,BLR,14002
Belgium,BEL,115701
Belize,BLZ,678
Benin,BEN,250
Bermuda,BMU,325
Bhutan,BTN,66
Bolivia,BOL,31119
Bonaire Sint Eustatius and Saba,BES,
Bosnia and Herzegovina,BIH,8438
Botswana,BWA,3541
Brazil,BRA,665797
British Virgin Islands,VGB,182
Brunei,BRN,2138
Bulgaria,BGR,15370
Burkina Faso,BFA,
Cambodia,KHM,72893
Cameroon,CMR,2484
Canada,CAN,370761
Cape Verde,CPV,276
Cayman Islands,CYM,576
Central African Republic,CAF,934
Chile,CHL,149665
China,CHN,19742428
Colombia,COL,252218
Comoros,COM,3254
Congo,COG,495
Cook Islands,COK,561
Costa Rica,CRI,26427
Cote d'Ivoire,CIV,7253
Croatia,HRV,24550
Cuba,CUB,178376
Curacao,CUW,909
Cyprus,CYP,8274
Czechia,CZE,89208
Democratic Republic of Congo,COD,862
Denmark,DNK,51384
Djibouti,DJI,578
Dominica,DMA,197
Dominican Republic,DOM,99737
Ecuador,ECU,53602
Egypt,EGY,91894
El Salvador,SLV,31325
England,OWID_ENG,420860
Equatorial Guinea,GNQ,3491
Estonia,EST,8612
Eswatini,SWZ,18
Ethiopia,ETH,16456
Europe,OWID_EUR,4552619
European Union,OWID_EUN,3516091
Faeroe Islands,FRO,402
Falkland Islands,FLK,83
Fiji,FJI,2666
Finland,FIN,39571
France,FRA,543962
French Polynesia,PYF,1228
Gabon,GAB,256
Gambia,GMB,169
Georgia,GEO,7091
Germany,DEU,714515
Ghana,GHA,31068
Gibraltar,GIB,161
Greece,GRC,85562
Greenland,GRL,590
Grenada,GRD,335
Guatemala,GTM,17912
Guernsey,GGY,686
Guinea,GIN,6539
Guinea-Bissau,GNB,
Guyana,GUY,3690
High income,OWID_HIC,7265825
Honduras,HND,19811
Hong Kong,HKG,36981
Hungary,HUN,86543
Iceland,ISL,3204
India,IND,2660460
Indonesia,IDN,261821
Iran,IRN,100698
Iraq,IRQ,7515
Ireland,IRL,18338
Isle of Man,IMN,741
Israel,ISR,2550
Italy,ITA,505577
Jamaica,JAM,1783
Japan,JPN,652451
Jersey,JEY,792
Jordan,JOR,48172
Kazakhstan,KAZ,32865
Kenya,KEN,1876
Kosovo,OWID_KOS,1417
Kuwait,KWT,37903
Kyrgyzstan,KGZ,1399
Laos,LAO,21403
Latvia,LVA,16229
Lebanon,LBN,16129
Lesotho,LSO,589
Liberia,LBR,640
Libya,LBY,6242
Liechtenstein,LIE,349
Lithuania,LTU,25720
Low income,OWID_LIC,108643
Lower middle income,OWID_LMC,4027226
Luxembourg,LUX,5511
Macao,MAC,4250
Madagascar,MDG,2292
Malawi,MWI,907
Malaysia,MYS,70211
Maldives,MDV,1360
Mali,MLI,3676
Malta,MLT,5351
Mauritania,MRT,919
Mauritius,MUS,9482
Mexico,MEX,611467
Moldova,MDA,10017
Monaco,MCO,207
Mongolia,MNG,52520
Montenegro,MNE,6030
Montserrat,MSR,15
Morocco,MAR,181666
Mozambique,MOZ,93
Myanmar,MMR,53695
Namibia,NAM,1290
Nauru,NRU,239
Nepal,NPL,6498
Netherlands,NLD,98333
New Caledonia,NCL,848
New Zealand,NZL,14026
Nicaragua,NIC,82
Niger,NER,5711
Nigeria,NGA,19602
North America,OWID_NAM,2613858
North Macedonia,MKD,10856
Northern Cyprus,OWID_CYN,386
Northern Ireland,OWID_NIR,11930
Norway,NOR,42782
Oceania,OWID_OCE,123344
Oman,OMN,2003
Pakistan,PAK,246399
Palestine,PSE,10530
Panama,PAN,13118
Papua New Guinea,PNG,1676
Paraguay,PRY,8864
Peru,PER,76383
Philippines,PHL,123896
Poland,POL,318683
Portugal,PRT,79163
Qatar,QAT,25260
Romania,ROU,64899
Russia,RUS,330170
Rwanda,RWA,4109
Saint Helena,SHN,97
Saint Kitts and Nevis,KNA,538
Saint Lucia,LCA,226
Saint Vincent and the Grenadines,VCT,254
Samoa,WSM,824
San Marino,SMR,71
Sao Tome and Principe,STP,453
Saudi Arabia,SAU,146001
Scotland,OWID_SCT,47231
Senegal,SEN,2477
Serbia,SRB,39116
Seychelles,SYC,279
Sierra Leone,SLE,643
Singapore,SGP,45725
Sint Maarten (Dutch part),SXM,215
Slovakia,SVK,32697
Slovenia,SVN,17831
Solomon Islands,SLB,277
Somalia,SOM,1107
South Africa,ZAF,55492
South America,OWID_SAM,1683126
South Korea,KOR,367042
South Sudan,SSD,246
Spain,ESP,379695
Sri Lanka,LKA,51964
Sudan,SDN,6961
Suriname,SUR,1981
Sweden,SWE,58816
Switzerland,CHE,77879
Syria,SYR,455
Taiwan,TWN,33372
Tajikistan,TJK,1544
Thailand,THA,101038
Timor,TLS,2322
Togo,TGO,3453
Tonga,TON,465
Trinidad and Tobago,TTO,3802
Tunisia,TUN,27241
Turkey,TUR,224086
Turkmenistan,TKM,
Turks and Caicos Islands,TCA,445
