location,weekly_deaths
Afghanistan,278.0
Africa,2040.0
Albania,1.0
Algeria,57.0
Andorra,0.0
Angola,31.0
Antigua and Barbuda,0.0
Argentina,3934.0
Armenia,18.0
Asia,25123.0
Australia,0.0
Austria,32.0
Azerbaijan,26.0
Bahamas,2.0
Bahrain,152.0
Bangladesh,253.0
Barbados,0.0
Belarus,68.0
Belgium,83.0
Belize,0.0
Benin,1.0
Bhutan,0.0
Bolivia,538.0
Bosnia and Herzegovina,190.0
Botswana,36.0
Brazil,11593.0
Brunei,0.0
Bulgaria,134.0
Burkina Faso,0.0
Burundi,2.0
Cambodia,58.0
Cameroon,27.0
Canada,228.0
Cape Verde,5.0
Central African Republic,0.0
Chad,1.0
Chile,760.0
China,0.0
Colombia,3626.0
Comoros,0.0
Congo,4.0
Costa Rica,177.0
Cote d'Ivoire,0.0
Croatia,62.0
Cuba,68.0
Cyprus,5.0
Czechia,74.0
Democratic Republic of Congo,35.0
Denmark,4.0
Djibouti,0.0
Dominica,0.0
Dominican Republic,38.0
Ecuador,211.0
Egypt,301.0
El Salvador,27.0
Equatorial Guinea,0.0
Eritrea,0.0
Estonia,6.0
Eswatini,1.0
Ethiopia,49.0
Europe,8010.0
European Union,4265.0
Fiji,0.0
Finland,3.0
France,475.0
Gabon,2.0
Gambia,0.0
Georgia,147.0
Germany,716.0
Ghana,2.0
Greece,209.0
Grenada,0.0
Guatemala,148.0
Guinea,2.0
Guinea-Bissau,0.0
Guyana,25.0
Haiti,16.0
Honduras,153.0
Hong Kong,0.0
Hungary,122.0
Iceland,0.0
India,16207.0
Indonesia,1269.0
International,0.0
Iran,1035.0
Iraq,184.0
Ireland,0.0
Israel,5.0
Italy,469.0
Jamaica,11.0
Japan,598.0
Jordan,58.0
Kazakhstan,26.0
Kenya,138.0
Kiribati,0.0
Kosovo,2.0
Kuwait,26.0
Kyrgyzstan,44.0
Laos,0.0
Latvia,44.0
Lebanon,39.0
Lesotho,0.0
Liberia,2.0
Libya,22.0
Liechtenstein,0.0
Lithuania,41.0
Luxembourg,1.0
Madagascar,30.0
Malawi,2.0
Malaysia,669.0
Maldives,20.0
Mali,3.0
Malta,0.0
Marshall Islands,0.0
Mauritania,7.0
Mauritius,0.0
Mexico,1260.0
Micronesia (country),0.0
Moldova,27.0
Monaco,0.0
Mongolia,32.0
Montenegro,11.0
Morocco,33.0
Mozambique,3.0
Myanmar,11.0
Namibia,82.0
Nepal,644.0
Netherlands,66.0
New Zealand,0.0
Nicaragua,1.0
Niger,0.0
Nigeria,18.0
North America,5243.0
North Macedonia,39.0
Norway,1.0
Oceania,2.0
Oman,78.0
Pakistan,523.0
Palestine,17.0
Panama,31.0
Papua New Guinea,2.0
Paraguay,852.0
Peru,2736.0
Philippines,1052.0
Poland,399.0
Portugal,12.0
Qatar,10.0
Romania,802.0
Russia,2579.0
Rwanda,7.0
Saint Kitts and Nevis,0.0
Saint Lucia,1.0
Saint Vincent and the Grenadines,0.0
Samoa,0.0
San Marino,0.0
Sao Tome and Principe,-4.0
Saudi Arabia,111.0
Senegal,10.0
Serbia,58.0
Seychelles,4.0
Sierra Leone,3.0
Singapore,1.0
Slovakia,70.0
Slovenia,15.0
Solomon Islands,0.0
Somalia,4.0
South Africa,582.0
South America,24821.0
South Korea,12.0
South Sudan,0.0
Spain,326.0
Sri Lanka,360.0
Sudan,49.0
Suriname,50.0
Sweden,95.0
Switzerland,18.0
Syria,25.0
Taiwan,171.0
Tajikistan,0.0
Tanzania,0.0
Thailand,228.0
Timor,1.0
Togo,0.0
Trinidad and Tobago,92.0
Tunisia,406.0
Turkey,685.0
Uganda,26.0
Ukraine,678.0
United Arab Emirates,20.0
United Kingdom,73.0
United States,2990.0
Uruguay,407.0
Uzbekistan,9.0
Vanuatu,0.0
Vatican,0.0
Venezuela,89.0
Vietnam,7.0
World,65239.0
Yemen,14.0
Zambia,39.0
Zimbabwe,18.0
