iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AFG,Asia,Afghanistan,2021-06-02,74026.0,1049.0,897.571,3007.0,34.0,21.714,1901.597,26.947,23.057,77.244,0.873,0.558,1.62,,,,,,,,,,,,,,,,,,626290.0,481690.0,144600.0,2859.0,5119.0,1.61,1.24,0.37,131.0,37.96,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511
OWID_AFR,,Africa,2021-06-02,4858396.0,7934.0,10470.286,131157.0,201.0,271.143,3624.051,5.918,7.81,97.835,0.15,0.202,,,,,,,,,,,,,,,,,,,33955796.0,25022429.0,8793290.0,340492.0,631673.0,2.53,1.87,0.66,471.0,,1340598113.0,,,,,,,,,,,,,,
ALB,Europe,Albania,2021-06-02,132351.0,14.0,15.286,2451.0,0.0,0.571,45990.34,4.865,5.312,851.692,0.0,0.199,0.53,,,,,,,,,3255.0,695569.0,241.702,1.131,2827.0,0.982,0.006,163.5,tests performed,780342.0,487078.0,293264.0,3881.0,6183.0,27.12,16.93,10.19,2149.0,46.3,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
DZA,Africa,Algeria,2021-06-02,129640.0,422.0,284.857,3490.0,10.0,7.143,2956.372,9.623,6.496,79.588,0.228,0.163,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,61.57,43851043.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
AND,Europe,Andorra,2021-06-02,13744.0,15.0,10.429,127.0,0.0,0.0,177881.318,194.137,134.971,1643.694,0.0,0.0,0.61,,,,,,,,,,190469.0,2465.139,,313.0,4.051,0.006,156.5,people tested,35916.0,27613.0,8303.0,,257.0,46.48,35.74,10.75,3326.0,43.52,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
AGO,Africa,Angola,2021-06-02,34960.0,208.0,231.714,780.0,8.0,5.429,1063.705,6.329,7.05,23.733,0.243,0.165,1.08,,,,,,,,,,,,,,,,,,909215.0,679034.0,230181.0,,12888.0,2.77,2.07,0.7,392.0,,32866268.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AIA,North America,Anguilla,2021-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14443.0,9004.0,5439.0,,110.0,96.27,60.02,36.26,7332.0,,15002.0,,,,,,,,,,,,,81.88,
ATG,North America,Antigua and Barbuda,2021-06-02,1262.0,2.0,0.571,42.0,0.0,0.0,12887.019,20.423,5.835,428.887,0.0,0.0,0.48,,,,,,,,,,,,,,,,,,50329.0,33463.0,16866.0,1709.0,1278.0,51.39,34.17,17.22,13050.0,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778
ARG,South America,Argentina,2021-06-02,3852156.0,35017.0,32860.143,79320.0,587.0,533.143,85232.653,774.785,727.062,1755.031,12.988,11.796,1.11,,,,,,,,,42754.0,9840134.0,217.722,0.946,36621.0,0.81,0.334,3.0,tests performed,12801115.0,9924476.0,2876639.0,304037.0,210007.0,28.32,21.96,6.36,4647.0,81.48,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845
ARM,Asia,Armenia,2021-06-02,222870.0,92.0,85.857,4446.0,1.0,5.0,75211.745,31.047,28.974,1500.388,0.337,1.687,0.62,,,,,,,,,2655.0,1083960.0,365.803,0.896,3136.0,1.058,0.031,31.9,tests performed,33529.0,33529.0,,,995.0,1.13,1.13,,336.0,,2963234.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
