location,iso_code,weekly_vaccinations
Afghanistan,AFG,5395
Africa,OWID_AFR,515494
Albania,ALB,7476
Algeria,DZA,3748
Andorra,AND,257
Angola,AGO,17825
Anguilla,AIA,118
Antigua and Barbuda,ATG,1114
Argentina,ARG,157245
Armenia,ARM,1016
Aruba,ABW,1108
Asia,OWID_ASI,23223165
Australia,AUS,87878
Austria,AUT,70758
Azerbaijan,AZE,37561
Bahamas,BHS,779
Bahrain,BHR,18471
Bangladesh,BGD,23994
Barbados,BRB,1218
Belarus,BLR,16308
Belgium,BEL,92262
Belize,BLZ,735
Benin,BEN,250
Bermuda,BMU,325
Bhutan,BTN,66
Bolivia,BOL,39711
Bonaire Sint Eustatius and Saba,BES,
Bosnia and Herzegovina,BIH,8438
Botswana,BWA,5288
Brazil,BRA,953048
British Virgin Islands,VGB,182
Brunei,BRN,2060
Bulgaria,BGR,13757
Cambodia,KHM,94007
Cameroon,CMR,2484
Canada,CAN,356463
Cape Verde,CPV,276
Cayman Islands,CYM,551
Central African Republic,CAF,934
Chile,CHL,153945
China,CHN,18302816
Colombia,COL,198686
Comoros,COM,3254
Congo,COG,495
Cook Islands,COK,561
Costa Rica,CRI,26427
Cote d'Ivoire,CIV,10988
Croatia,HRV,25731
Cuba,CUB,
Curacao,CUW,1358
Cyprus,CYP,10401
Czechia,CZE,81065
Democratic Republic of Congo,COD,862
Denmark,DNK,47868
Djibouti,DJI,578
Dominica,DMA,197
Dominican Republic,DOM,71630
Ecuador,ECU,50197
Egypt,EGY,86830
El Salvador,SLV,34822
England,OWID_ENG,490528
Equatorial Guinea,GNQ,4078
Estonia,EST,8819
Eswatini,SWZ,18
Ethiopia,ETH,23151
Europe,OWID_EUR,4431899
European Union,OWID_EUN,3356488
Faeroe Islands,FRO,545
Falkland Islands,FLK,83
Fiji,FJI,2666
Finland,FIN,37493
France,FRA,493002
French Polynesia,PYF,1228
Gabon,GAB,437
Gambia,GMB,819
Georgia,GEO,5003
Germany,DEU,705630
Ghana,GHA,31068
Gibraltar,GIB,161
